,id,ndb_no,shrt_desc,water,energ_kcal,protein,lipid_tot,ash,carbohydrt,fiber_td,sugar_tot,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folate_tot,folic_acid,food_folate,folate_dfe,choline_tot,vit_b12,vit_a_iu,vit_a_rae,retinol,alpha_carot,beta_carot,beta_crypt,lycopene,lutzea,vit_e,vit_d,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,cholestrl,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,refuse_pct,fruit_name
22,524,6117,"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",70.2,125,6.25,2.34,1.4,19.53,6.3,3.13,47,1.41,0,0,375,672,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,391,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.172,0.781,0.391,4,128.0,"1 serving, 1/2 cup",0.0,,0,bean
23,607,6190,"SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS",79.91,81,4.19,1.03,1.21,13.66,4.0,3.17,38,1.02,19,13,158,187,0.53,0.082,0.228,4.3,1.1,0.056,0.029,0.324,0.128,0.046,29,0,29,29,18.0,0.03,702,35,0,145,349,0,915,36,0.39,0.0,0,5.1,0.252,0.415,0.269,2,245.0,1 cup,0.0,,0,bean
24,843,6398,"CAMPBELL'S CHUNKY SOUPS,FIREHOUSE - HOT SPICY BF BEAN CHILI",78.7,95,6.12,3.27,1.71,10.2,2.4,2.86,16,0.73,0,0,0,355,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,204,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.429,0.0,0.0,10,245.0,1 cup,0.0,,0,bean
25,847,6402,"SOUP,BLACK BEAN,CND,PREP W/ EQ VOLUME H2O",87.62,46,2.42,0.66,1.6,7.71,3.4,1.24,19,0.75,17,38,125,487,0.55,0.155,0.25,0.0,0.1,0.021,0.02,0.205,0.08,0.035,33,0,33,33,7.8,0.0,222,11,0,40,110,6,232,18,0.18,0.0,0,0.9,0.17,0.24,0.205,0,247.0,1 cup,600.0,"1 can,  (11 oz), prepared",0,bean
26,849,6404,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",85.35,63,2.88,2.16,1.31,8.31,2.9,1.47,31,0.75,17,48,147,349,0.38,0.152,0.245,3.1,0.6,0.032,0.012,0.206,0.034,0.015,12,0,12,12,13.1,0.01,324,17,1,58,164,0,2910,4,0.43,0.0,0,1.2,0.558,0.793,0.666,1,266.0,"1 serving, 1 cup",33.3,1 fl oz,0,bean
27,887,6437,"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",78.7,95,6.12,3.27,1.71,10.2,2.4,2.86,16,0.73,0,0,0,359,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,204,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.429,0.0,0.0,10,245.0,1 cup,0.0,,0,bean
28,816,3152,"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",83.8,58,0.2,0.2,0.2,15.6,2.1,12.96,5,0.22,4,8,80,0,0.03,0.054,0.0,0.3,26.8,0.014,0.028,0.106,0.09,0.034,1,0,1,1,3.5,0.0,22,1,0,0,10,7,0,21,0.21,0.0,0,0.8,0.033,0.008,0.062,0,28.35,1 oz,113.0,1 jar,0,raspberry
29,817,3153,"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",84.0,58,0.2,0.2,0.2,15.4,2.1,12.96,5,0.22,4,8,72,0,0.03,0.053,0.0,0.3,28.9,0.012,0.029,0.104,0.088,0.034,1,0,1,1,3.5,0.0,34,2,0,1,15,9,0,21,0.07,0.0,0,0.8,0.032,0.008,0.063,0,28.35,1 oz,170.0,1 jar,0,raspberry
30,3941,14226,"BEVERAGES,OCEAN SPRAY,LT CRANBERRY & RASPBERRY FLAV JUC",93.8,26,0.73,0.0,0.07,5.77,0.7,5.02,4,0.04,3,4,47,2,0.02,0.009,0.031,0.0,32.9,0.0,0.0,0.026,0.0,0.0,0,0,0,0,0.4,0.0,26,1,0,31,0,0,0,19,0.0,0.0,0,0.1,0.001,0.001,0.001,0,242.0,8 fl oz,0.0,,0,raspberry
31,3944,14233,"Beverages, OCEAN SPRAY, Cran Raspberry Juice Drink",87.5,49,0.28,0.0,0.1,11.96,0.6,11.4,2,0.04,1,1,18,14,0.02,0.009,0.022,0.1,27.2,0.0,0.0,0.026,0.0,0.0,4,0,4,0,0.4,0.0,25,1,0,0,15,0,0,19,0.0,0.0,0,0.1,0.001,0.001,0.001,0,248.0,8 fl oz,0.0,,0,raspberry
32,8021,18435,"DANISH PASTRY,RASPBERRY,UNENR",27.1,371,5.4,18.5,1.2,47.8,1.9,0.0,46,0.75,15,89,83,354,0.54,0.065,0.253,0.0,3.9,0.065,0.092,0.769,0.634,0.04,16,0,16,16,0.0,0.09,200,60,60,0,0,0,0,0,0.0,0.0,0,0.0,2.826,5.937,1.508,40,28.35,1 oz,71.0,"1 pastry,  (4-1/4"" dia)",0,raspberry
33,8190,16254,SILK RASPBERRY SOY YOGURT,77.59,88,2.35,1.18,1.24,17.65,0.6,12.94,176,0.64,0,0,0,15,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,170.0,1 container,0.0,,0,raspberry
34,8311,18544,"ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED",14.99,400,4.35,13.26,1.48,65.92,2.2,31.76,20,2.32,0,0,118,334,0.0,0.0,0.0,0.0,0.0,0.34,0.18,2.13,0.0,0.0,62,0,0,0,0.0,0.0,18,0,0,0,0,0,0,0,0.0,0.0,0,0.0,5.16,4.14,1.1,6,25.0,1 serving,0.0,,0,raspberry
35,2493,16606,"MORNINGSTAR FARMS MEDITERRANEAN CHICKPEA,FRZ,UNPREP",56.4,200,15.5,6.5,1.8,19.8,10.1,1.1,94,1.7,18,85,261,357,0.5,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.0,0.1,28,0,28,28,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.9,2.0,3.3,1,67.0,1 Burger,0.0,,0,chickpea
36,7396,16056,"CHICKPEAS (GARBANZO BNS,BENGAL GM),MATURE SEEDS,RAW",7.68,378,20.47,6.04,2.85,62.95,12.2,10.7,57,4.31,79,252,718,24,2.76,0.656,21.306,0.0,4.0,0.477,0.212,1.541,1.588,0.535,557,0,557,557,99.3,0.0,67,3,0,0,40,0,0,0,0.82,0.0,0,9.0,0.603,1.377,2.731,0,200.0,1 cup,12.5,1 tbsp,0,chickpea
37,7398,16057,"CHICKPEAS ,MATURE SEEDS,CKD,BLD,WO/SALT",60.21,164,8.86,2.59,0.92,27.42,7.6,4.8,49,2.89,48,168,291,7,1.53,0.352,1.03,3.7,1.3,0.116,0.063,0.526,0.286,0.139,172,0,172,172,42.8,0.0,27,1,0,0,16,0,0,0,0.35,0.0,0,4.0,0.269,0.583,1.156,0,164.0,1 cup,0.0,,0,chickpea
38,7400,16058,"CHICKPEAS (GARBANZO BNS,BENGAL GRAM),MATURE SDS,CND,SOL&LIQ",78.55,88,4.92,1.95,1.09,13.49,4.4,0.0,35,1.23,27,80,144,278,0.69,0.153,0.818,2.0,0.1,0.032,0.015,0.13,0.299,0.473,25,0,25,25,32.6,0.0,15,1,0,0,9,0,0,0,0.0,0.0,0,0.0,0.204,0.444,0.881,0,240.0,1 cup,448.0,"1 can, (total can contents)",0,chickpea
39,7894,16157,CHICKPEA FLOUR (BESAN),10.28,387,22.39,6.69,2.82,57.82,10.8,10.85,45,4.86,166,318,846,64,2.81,0.912,1.6,8.3,0.0,0.486,0.106,1.762,0.606,0.492,437,0,437,437,0.0,0.0,41,2,0,0,25,0,0,0,0.83,0.0,0,9.1,0.693,1.504,2.983,0,92.0,1 cup,0.0,,0,chickpea
